setting,project_name,method,num_seeds,candidates_per_class,selected_per_class,epochs,real_finetune_epochs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,best_val_accuracy_mean,delta_accuracy_vs_best,delta_macro_f1_vs_best,train_size,test_size,notes
Pets20 fair RealFT real_only,ccds_pets20_5shot_30ep_realft,real_only,3,80,10,30,5,0.8127208480565371,0.04112147774743325,0.8064039895926424,0.05057466115748745,0.855,-0.09658421672555939,-0.1022784661511934,100,1981,30+5 RealFT fair baseline; real images only.
Pets20 fair RealFT traditional_aug,ccds_pets20_5shot_30ep_realft,traditional_aug,3,80,10,30,5,0.8048123843176848,0.04121535427854825,0.7974133882320892,0.05088581323845856,0.8516666666666666,-0.10449268046441174,-0.11126906751174659,100,1981,30+5 RealFT fair baseline with traditional augmentation.
Pets20 fair RealFT diffusion_random,ccds_pets20_5shot_30ep_realft,diffusion_random,3,80,10,30,5,0.8712771327612318,0.010208858362522331,0.8693697110033506,0.011400050328241996,0.9033333333333333,-0.03802793202086474,-0.039312744740485184,300,1981,"30+5 RealFT, 10 selected/class random synthetic baseline."
Pets20 fair RealFT clip_topk,ccds_pets20_5shot_30ep_realft,clip_topk,3,80,10,30,5,0.8992091536261148,0.010162994360115401,0.8982194314804253,0.011070476546923457,0.9166666666666666,-0.01009591115598174,-0.010463024263410503,300,1981,"Strong 30+5 RealFT baseline, 10 selected/class."
Pets20 fair RealFT margin_topk,ccds_pets20_5shot_30ep_realft,margin_topk,3,80,10,30,5,0.8872623254248696,0.006510362484318697,0.8855060044758796,0.006958148979318539,0.9,-0.022042739357226893,-0.0231764512679562,300,1981,"30+5 RealFT baseline, 10 selected/class."
Pets20 fair RealFT ccds,ccds_pets20_5shot_30ep_realft,ccds,3,80,10,30,5,0.889281507656066,0.008466932946598763,0.8882336382830974,0.008430428928977378,0.9100000000000001,-0.020023557126030544,-0.020448817460738344,300,1981,"30+5 RealFT baseline, 10 selected/class."
Pets20 fair RealFT anchored_ccds,ccds_pets20_5shot_30ep_realft,anchored_ccds,3,80,10,30,5,0.8956755847215211,0.007577540130706841,0.8945891966052549,0.008037367176690895,0.9183333333333333,-0.013629480060575405,-0.014093259138580838,300,1981,"30+5 RealFT baseline, 10 selected/class."
Pets20 D7 anchored + RealFT,ccds_pets20_d7_anchor6_top60_w701515_realft,anchored_ccds,3,80,10,30,5,0.8998822143698469,0.00886391868824899,0.8992820277360587,0.009026680160959873,0.9133333333333334,-0.00942285041224955,-0.009400428007777073,300,1981,Tuned anchored CCDS result before large-synthetic sweep.
Pets20 160/sp60 CCDS + RealFT,ccds_pets20_160_sp60_core_realft,ccds,3,160,60,30,5,0.9072858825509003,0.004850592396230759,0.9066117036019152,0.004701102378392056,0.9049999999999999,-0.002019182231196237,-0.00207075214192054,1300,1981,Large synthetic ablation; 60 selected/class.
Pets20 160/sp80 margin_topk + RealFT (best),ccds_pets20_160_sp80_core_realft,margin_topk,3,160,80,30,5,0.9093050647820965,0.0023315508094483056,0.9086824557438358,0.001925901304010054,0.9133333333333334,0.0,0.0,1700,1981,Current best 3-seed mean; 80 selected/class.
Pets20 160/sp100 margin_topk + RealFT,ccds_pets20_160_sp100_core_realft,margin_topk,3,160,100,30,5,0.8983678276964495,0.013415917392076466,0.8977857396560657,0.012894685772164132,0.8983333333333333,-0.010937237085646978,-0.010896716087770097,2100,1981,Large synthetic ablation; 100 selected/class.
Pets20 160/sp100 anchored_ccds + RealFT,ccds_pets20_160_sp100_core_realft,anchored_ccds,3,160,100,30,5,0.9039205788322396,0.002780197146535091,0.9031948655177705,0.003033006022009779,0.89,-0.005384485949856854,-0.005487590226065264,2100,1981,Large synthetic ablation; 100 selected/class.
Pets20 160/sp80 DINOv2 CFRD-MMR + RealFT,ccds_pets20_160_sp80_cfrd_mmr_dinov2_realft,cfrd_mmr,1,160,80,30,5,0.9050984351337708,,0.904513539484336,,0.91,-0.004206629648325744,-0.0041689162594997775,1700,1981,Single-seed diagnostic/ablation currently available.
